"","UserID","Monetary","Frequency","Recency","rankR","rankF","rankM","rankRMF","rankR1","rankF1","rankM1","rankRMF1","M_S","F_S","R_S","Custom"
"175",14742,5850,12,6,5,2,2,522,0.970443349753695,0.380952380952381,0.40196463654224,3.5,1,1,2,"一般发展客户"
"176",14743,6048,13,7,5,3,3,533,0.96551724137931,0.428571428571429,0.417524557956778,4,1,2,2,"重点保护客户"
"177",14744,7373,16,9,4,4,4,444,0.955665024630542,0.571428571428571,0.521650294695481,4,2,2,2,"高价值客户"
"178",14745,6968,15,21,3,4,3,343,0.896551724137931,0.523809523809524,0.489823182711198,3.3,1,2,1,"一般保护客户"
"179",14746,8862,17,28,2,5,5,255,0.862068965517241,0.619047619047619,0.638664047151277,3.5,2,2,1,"重点保持客户"
"180",14747,3238,10,13,4,1,1,411,0.935960591133005,0.285714285714286,0.196699410609037,2.5,1,1,2,"一般发展客户"
"181",14748,9714,17,11,4,5,5,455,0.945812807881773,0.619047619047619,0.705618860510805,4.5,2,2,2,"高价值客户"
"182",14749,7106,15,60,1,4,4,144,0.704433497536946,0.523809523809524,0.500667976424361,2.5,2,2,1,"重点保持客户"
"183",14750,5789,10,1,5,1,2,512,0.995073891625616,0.285714285714286,0.397170923379175,3.2,1,1,2,"一般发展客户"
"184",14751,7406,11,60,1,2,4,124,0.704433497536946,0.333333333333333,0.524243614931238,1.9,2,1,1,"重点挽留客户"
"185",14752,8653,17,50,1,5,5,155,0.753694581280788,0.619047619047619,0.622239685658153,3,2,2,1,"重点保持客户"
"186",14753,4277,9,2,5,1,1,511,0.990147783251232,0.238095238095238,0.278349705304519,3,1,1,2,"一般发展客户"
"187",14754,5074,10,26,2,1,2,212,0.87192118226601,0.285714285714286,0.34098231827112,1.7,1,1,1,"潜在客户"
"188",14755,8053,14,11,4,3,4,434,0.945812807881773,0.476190476190476,0.575088408644401,3.7,2,2,2,"高价值客户"
"189",14756,5450,12,52,1,2,2,122,0.74384236453202,0.380952380952381,0.370530451866405,1.5,1,1,1,"潜在客户"
"190",14757,5274,13,26,2,3,2,232,0.87192118226601,0.428571428571429,0.356699410609037,2.3,1,2,1,"一般保护客户"
"191",14758,5768,13,2,5,3,2,532,0.990147783251232,0.428571428571429,0.395520628683694,3.8,1,2,2,"重点保护客户"
"192",14759,3495,8,21,3,1,1,311,0.896551724137931,0.19047619047619,0.216895874263261,2,1,1,1,"潜在客户"
"193",14760,6368,13,35,2,3,3,233,0.827586206896552,0.428571428571429,0.442671905697446,2.5,1,2,1,"一般保护客户"
"194",14761,7242,12,93,1,2,4,124,0.541871921182266,0.380952380952381,0.511355599214145,1.9,2,1,1,"重点挽留客户"
"195",14762,2897,7,56,1,1,1,111,0.724137931034483,0.142857142857143,0.169901768172888,1,1,1,1,"潜在客户"
"196",14763,3914,9,60,1,1,1,111,0.704433497536946,0.238095238095238,0.249823182711198,1,1,1,1,"潜在客户"
"197",14764,7095,11,27,2,2,4,224,0.866995073891626,0.333333333333333,0.499803536345776,2.4,2,1,1,"重点挽留客户"
"198",14765,6879,13,10,4,3,3,433,0.950738916256158,0.428571428571429,0.482829076620825,3.5,1,2,2,"重点保护客户"
"199",14766,3796,8,10,4,1,1,411,0.950738916256158,0.19047619047619,0.240550098231827,2.5,1,1,2,"一般发展客户"
"200",14767,8191,14,5,5,3,4,534,0.975369458128079,0.476190476190476,0.585933202357564,4.2,2,2,2,"高价值客户"
"201",14768,5071,13,11,4,3,2,432,0.945812807881773,0.428571428571429,0.340746561886051,3.3,1,2,2,"重点保护客户"
"202",14769,9504,17,28,2,5,5,255,0.862068965517241,0.619047619047619,0.689115913555992,3.5,2,2,1,"重点保持客户"
"203",14770,7908,14,35,2,3,4,234,0.827586206896552,0.476190476190476,0.563693516699411,2.7,2,2,1,"重点保持客户"
"204",14771,5824,13,9,4,3,2,432,0.955665024630542,0.428571428571429,0.39992141453831,3.3,1,2,2,"重点保护客户"
"205",14772,2560,5,122,1,1,1,111,0.399014778325123,0.0476190476190476,0.143418467583497,1,1,1,1,"潜在客户"
"206",14773,4514,10,11,4,1,1,411,0.945812807881773,0.285714285714286,0.296974459724951,2.5,1,1,2,"一般发展客户"
"207",14774,4927,10,73,1,1,2,112,0.640394088669951,0.285714285714286,0.329430255402751,1.2,1,1,1,"潜在客户"
"208",14775,6011,12,2,5,2,3,523,0.990147783251232,0.380952380952381,0.414616895874263,3.7,1,1,2,"一般发展客户"
"209",14776,5425,13,51,1,3,2,132,0.748768472906404,0.428571428571429,0.368565815324165,1.8,1,2,1,"一般保护客户"
"210",14777,5225,12,7,5,2,2,522,0.96551724137931,0.380952380952381,0.352848722986248,3.5,1,1,2,"一般发展客户"
"211",14778,8433,18,69,1,5,5,155,0.660098522167488,0.666666666666667,0.604950884086444,3,2,2,1,"重点保持客户"
"212",14779,5885,15,10,4,4,2,442,0.950738916256158,0.523809523809524,0.404715127701375,3.6,1,2,2,"重点保护客户"
"213",14780,5147,8,42,2,1,2,212,0.793103448275862,0.19047619047619,0.34671905697446,1.7,1,1,1,"潜在客户"
"214",14781,7414,14,5,5,3,4,534,0.975369458128079,0.476190476190476,0.524872298624754,4.2,2,2,2,"高价值客户"
"215",14782,7853,16,13,4,4,4,444,0.935960591133005,0.571428571428571,0.559371316306483,4,2,2,2,"高价值客户"
